food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,actual_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
CHZ798,Chilli Guava Fizz,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,159,,,159,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
TRA773,Tropical Pinacolada,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,169,,,169,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
GRM646,Green Blossom,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,165,,,165,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
BLM833,Blue Blossom,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,165,,,165,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
REM832,Red Blossom,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,165,,,165,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
BLN108,Blue Lagoon,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,155,,,155,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
MA.129,Mad Mugs Spl.,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,219,,,219,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
PUI284,Punjabi Lassi,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,105,,,105,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
SPK858,Spl. Butter Milk,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,119,,,119,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
PAA548,Paneer Pakoda,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,209,,,209,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
PA5336,Paneer 65,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,219,,,219,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
CHR392,Chilli Paneer,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,229,,,229,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
MA5511,Mashroom 65,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,189,,,189,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
HOO195,Honey Chilli Potato,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,199,,,199,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
GAR391,Garlic Paneer,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,209,,,209,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
VEN262,Veg Manchurian,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,179,,,179,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
AMN470,American Crispy Corn,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,139,,,139,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
MAI448,Mashroom Chilli,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,199,,,199,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
PAC285,Paneer Majestic,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,215,,,215,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
MAR645,Mashroom Slat/Peper,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,209,,,209,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
AMR785,American Slat/Peper,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,179,,,179,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
CRG494,Crispy Veg,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,149,,,149,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
SCR164,Schewan Paneer,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,249,,,249,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
SCM431,Schewan Mashroom,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,229,,,229,,,CHINEESE (VEG ),STARTER,,TRUE,FALSE,,FALSE
CHA908,Chicken Pakoda,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,199,,,199,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
CHN605,Chilli Chicken,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,219,,,219,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
CH5731,Chicken 65,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Non-Vegetarian,209,,,209,,,CHINEESE (NON VEG),STARTER,,TRUE,FALSE,,FALSE
